escenario,nombre_html,nombre_xlsx,voto_html,voto_xlsx,provincia_html,provincia_xlsx,bloque_html,bloque_xlsx,familia_html,fuente_voto,fuente_distrito,confianza,cambia_provincia,cambia_voto,observaciones
AEROLINEAS_SENADO,"BASUALDO, Roberto Gustavo","BASUALDO, ROBERTO GUSTAVO",AUSENTE,AUSENTE,San Juan,San Juan,PJ San Juan,PRODUCCIÓN Y TRABAJO,Provinciales / otros,Acta nominal del Senado (dataset HTML preserva),SEN AMPLIADOS XLSX (Secretaría Parlamentaria HSN),ALTA,NO,NO,
AEROLINEAS_SENADO,"BIANCALANI, Fabio Darío","BIANCALANI, FABIO DARIO",AFIRMATIVO,AFIRMATIVO,Formosa,Chaco,PJ Frente para la Victoria,PJ FRENTE PARA LA VICTORIA,FPV-PJ,Acta nominal del Senado (dataset HTML preserva),SEN AMPLIADOS XLSX (Secretaría Parlamentaria HSN),ALTA,SI,NO,
AEROLINEAS_SENADO,"BONGIORNO, María José","BONGIORNO, MARIA JOSE",AFIRMATIVO,AFIRMATIVO,Chubut,Río Negro,PJ Frente para la Victoria,PJ FRENTE PARA LA VICTORIA,FPV-PJ,Acta nominal del Senado (dataset HTML preserva),SEN AMPLIADOS XLSX (Secretaría Parlamentaria HSN),ALTA,SI,NO,
AEROLINEAS_SENADO,"BORTOLOZZI, Adriana Raquel","BORTOLOZZI, ADRIANA RAQUEL",AFIRMATIVO,AFIRMATIVO,Formosa,Formosa,PJ Frente para la Victoria,ESPERANZA FEDERAL,FPV-PJ,Acta nominal del Senado (dataset HTML preserva),SEN AMPLIADOS XLSX (Secretaría Parlamentaria HSN),ALTA,NO,NO,
AEROLINEAS_SENADO,"CABANCHIK, Samuel Manuel","CABANCHIK, SAMUEL MANUEL",AUSENTE,AUSENTE,CABA,CABA,Proyecto Buenos Aires,PROYECTO BUENOS AIRES FEDERAL,Otros,Acta nominal del Senado (dataset HTML preserva),SEN AMPLIADOS XLSX (Secretaría Parlamentaria HSN),ALTA,NO,NO,
AEROLINEAS_SENADO,"CALCAGNO Y MAILLMANN, Eric","CALCAGNO Y MAILLMANN, ERIC",AFIRMATIVO,AFIRMATIVO,Buenos Aires,Buenos Aires,PJ Frente para la Victoria,PJ FRENTE PARA LA VICTORIA,FPV-PJ,Acta nominal del Senado (dataset HTML preserva),SEN AMPLIADOS XLSX (Secretaría Parlamentaria HSN),ALTA,NO,NO,
AEROLINEAS_SENADO,"CASTILLO, Oscar Aníbal","CASTILLO, OSCAR ANÍBAL",NEGATIVO,NEGATIVO,Catamarca,Catamarca,Unión Cívica Radical,FRENTE CÍVICO Y SOCIAL DE CATAMARCA,UCR,Acta nominal del Senado (dataset HTML preserva),SEN AMPLIADOS XLSX (Secretaría Parlamentaria HSN),ALTA,NO,NO,
AEROLINEAS_SENADO,"COLAZO, Mario Jorge","COLAZO, MARIO JORGE",AFIRMATIVO,AFIRMATIVO,Tierra del Fuego,Tierra del Fuego,PJ Frente para la Victoria,PJ FRENTE PARA LA VICTORIA,FPV-PJ,Acta nominal del Senado (dataset HTML preserva),SEN AMPLIADOS XLSX (Secretaría Parlamentaria HSN),ALTA,NO,NO,
AEROLINEAS_SENADO,"COLOMBO DE ACEVEDO, María Teresa","COLOMBO de ACEVEDO, MARÍA TERESITA DEL VALLE",AUSENTE,AUSENTE,Catamarca,Catamarca,Unión Cívica Radical,FRENTE CÍVICO Y SOCIAL DE CATAMARCA,UCR,Acta nominal del Senado (dataset HTML preserva),SEN AMPLIADOS XLSX (Secretaría Parlamentaria HSN),MEDIA,NO,NO,
AEROLINEAS_SENADO,"CORRADI DE BELTRÁN, Ana María","CORRADI DE BELTRAN, ANA MARIA",AFIRMATIVO,AFIRMATIVO,San Juan,Santiago del Estero,PJ Frente para la Victoria,PJ FRENTE PARA LA VICTORIA,FPV-PJ,Acta nominal del Senado (dataset HTML preserva),SEN AMPLIADOS XLSX (Secretaría Parlamentaria HSN),ALTA,SI,NO,
AEROLINEAS_SENADO,"CORREGIDO, Elena Mercedes","CORREGIDO, ELENA MERCEDES",AFIRMATIVO,AFIRMATIVO,Chaco,Chaco,PJ Frente para la Victoria,PJ FRENTE PARA LA VICTORIA,FPV-PJ,Acta nominal del Senado (dataset HTML preserva),SEN AMPLIADOS XLSX (Secretaría Parlamentaria HSN),ALTA,NO,NO,
AEROLINEAS_SENADO,"DÍAZ, María Rosa","DIAZ, MARIA ROSA",AFIRMATIVO,AFIRMATIVO,Entre Ríos,Tierra del Fuego,PJ Frente para la Victoria,NUEVO ENCUENTRO,FPV-PJ,Acta nominal del Senado (dataset HTML preserva),SEN AMPLIADOS XLSX (Secretaría Parlamentaria HSN),ALTA,SI,NO,
AEROLINEAS_SENADO,"ESCUDERO, Sonia Margarita","ESCUDERO, SONIA MARGARITA",AFIRMATIVO,AFIRMATIVO,Salta,Salta,PJ Salta,JUSTICIALISTA 8 DE OCTUBRE,Peronismo disidente,Acta nominal del Senado (dataset HTML preserva),SEN AMPLIADOS XLSX (Secretaría Parlamentaria HSN),ALTA,NO,NO,
AEROLINEAS_SENADO,"ESTENSSORO, María Eugenia","ESTENSSORO, MARÍA EUGENIA",NEGATIVO,NEGATIVO,Buenos Aires,CABA,Coalición Cívica,ALIANZA COALICIÓN CÍVICA,Coalición Cívica,Acta nominal del Senado (dataset HTML preserva),SEN AMPLIADOS XLSX (Secretaría Parlamentaria HSN),ALTA,SI,NO,
AEROLINEAS_SENADO,"FELLNER, Liliana Beatriz","FELLNER, LILIANA BEATRIZ",AFIRMATIVO,AFIRMATIVO,Jujuy,Jujuy,PJ Frente para la Victoria,PJ FRENTE PARA LA VICTORIA,FPV-PJ,Acta nominal del Senado (dataset HTML preserva),SEN AMPLIADOS XLSX (Secretaría Parlamentaria HSN),ALTA,NO,NO,
AEROLINEAS_SENADO,"FERNÁNDEZ, Nicolás Alejandro","FERNÁNDEZ, NICOLÁS ALEJANDRO",AFIRMATIVO,AFIRMATIVO,Santa Cruz,Santa Cruz,PJ Frente para la Victoria,PJ FRENTE PARA LA VICTORIA,FPV-PJ,Acta nominal del Senado (dataset HTML preserva),SEN AMPLIADOS XLSX (Secretaría Parlamentaria HSN),ALTA,NO,NO,
AEROLINEAS_SENADO,"FILMUS, Daniel Fernando","FILMUS, DANIEL FERNANDO",AUSENTE,AUSENTE,CABA,CABA,PJ Frente para la Victoria,PJ FRENTE PARA LA VICTORIA,FPV-PJ,Acta nominal del Senado (dataset HTML preserva),SEN AMPLIADOS XLSX (Secretaría Parlamentaria HSN),ALTA,NO,NO,
AEROLINEAS_SENADO,"FORSTMANN, Selva Judit","FORSTMANN, SELVA JUDIT",AFIRMATIVO,AFIRMATIVO,Misiones,Santa Cruz,PJ Frente para la Victoria,PJ FRENTE PARA LA VICTORIA,FPV-PJ,Acta nominal del Senado (dataset HTML preserva),SEN AMPLIADOS XLSX (Secretaría Parlamentaria HSN),ALTA,SI,NO,
AEROLINEAS_SENADO,"FUENTES, Marcelo Jorge","FUENTES, MARCELO JORGE",AFIRMATIVO,AFIRMATIVO,Río Negro,Neuquén,PJ Frente para la Victoria,PJ FRENTE PARA LA VICTORIA,FPV-PJ,Acta nominal del Senado (dataset HTML preserva),SEN AMPLIADOS XLSX (Secretaría Parlamentaria HSN),ALTA,SI,NO,
AEROLINEAS_SENADO,"GALLEGO, Silvia Ester","GALLEGO, SILVIA ESTER",AFIRMATIVO,AFIRMATIVO,La Rioja,La Pampa,PJ Frente para la Victoria,PJ FRENTE PARA LA VICTORIA,FPV-PJ,Acta nominal del Senado (dataset HTML preserva),SEN AMPLIADOS XLSX (Secretaría Parlamentaria HSN),ALTA,SI,NO,
AEROLINEAS_SENADO,"GIOJA, César Ambrosio","GIOJA, CESAR AMBROSIO",AFIRMATIVO,AFIRMATIVO,San Juan,San Juan,PJ Frente para la Victoria,PJ FRENTE PARA LA VICTORIA,FPV-PJ,Acta nominal del Senado (dataset HTML preserva),SEN AMPLIADOS XLSX (Secretaría Parlamentaria HSN),ALTA,NO,NO,
AEROLINEAS_SENADO,"GIRI, Haydé Delia","GIRI, HAIDE DELIA",AFIRMATIVO,AFIRMATIVO,Chaco,Córdoba,PJ Frente para la Victoria,PJ FRENTE PARA LA VICTORIA,FPV-PJ,Acta nominal del Senado (dataset HTML preserva),SEN AMPLIADOS XLSX (Secretaría Parlamentaria HSN),MEDIA,SI,NO,
AEROLINEAS_SENADO,"GIUSTINIANI, Rubén Héctor","GIUSTINIANI, RUBÉN HÉCTOR",NEGATIVO,NEGATIVO,Santa Fe,Santa Fe,Partido Socialista,PARTIDO SOCIALISTA,Socialista,Acta nominal del Senado (dataset HTML preserva),SEN AMPLIADOS XLSX (Secretaría Parlamentaria HSN),ALTA,NO,NO,
AEROLINEAS_SENADO,"GIUSTI, Silvia Ester","GIUSTI, SILVIA ESTER",AFIRMATIVO,AFIRMATIVO,Misiones,Chubut,PJ Frente para la Victoria,TRABAJO Y DIGNIDAD,FPV-PJ,Acta nominal del Senado (dataset HTML preserva),SEN AMPLIADOS XLSX (Secretaría Parlamentaria HSN),ALTA,SI,NO,
AEROLINEAS_SENADO,"GONZÁLEZ DE DUHALDE, Hilda Beatriz","GONZÁLEZ DE DUHALDE, HILDA BEATRIZ",NEGATIVO,NEGATIVO,Buenos Aires,Buenos Aires,PJ Frente para la Victoria,JUSTICIALISTA PARA EL DIALOGO DE LOS ARGENTINOS,FPV-PJ,Acta nominal del Senado (dataset HTML preserva),SEN AMPLIADOS XLSX (Secretaría Parlamentaria HSN),ALTA,NO,NO,
