escenario,nombre_html,nombre_xlsx,voto_html,voto_xlsx,provincia_html,provincia_xlsx,bloque_html,bloque_xlsx,familia_html,fuente_voto,fuente_distrito,confianza,cambia_provincia,cambia_voto,observaciones
YPF_SENADO,"AGUIRRE DE SORIA, Hilda Clelia","AGUIRRE, HILDA CLELIA",AFIRMATIVO,AFIRMATIVO,La Rioja,La Rioja,PJ Frente para la Victoria,PJ FRENTE PARA LA VICTORIA,FPV-PJ,Acta nominal del Senado (dataset HTML preserva),SEN AMPLIADOS XLSX (Secretaría Parlamentaria HSN),MEDIA,NO,NO,
YPF_SENADO,"ARTAZA, Eugenio Justiniano","ARTAZA, EUGENIO JUSTINIANO",AFIRMATIVO,AFIRMATIVO,Corrientes,Corrientes,Unión Cívica Radical,UCR - UNIÓN CÍVICA RADICAL,UCR,Acta nominal del Senado (dataset HTML preserva),SEN AMPLIADOS XLSX (Secretaría Parlamentaria HSN),ALTA,NO,NO,
YPF_SENADO,"BARRIONUEVO, Walter Basilio","BARRIONUEVO, WALTER BASILIO",AFIRMATIVO,AFIRMATIVO,Jujuy,Jujuy,PJ Frente para la Victoria,PJ FRENTE PARA LA VICTORIA,FPV-PJ,Acta nominal del Senado (dataset HTML preserva),SEN AMPLIADOS XLSX (Secretaría Parlamentaria HSN),ALTA,NO,NO,
YPF_SENADO,"BASUALDO, Roberto Gustavo","BASUALDO, ROBERTO GUSTAVO",AUSENTE,AUSENTE,San Juan,San Juan,PJ San Juan,PRODUCCIÓN Y TRABAJO,Provinciales / otros,Acta nominal del Senado (dataset HTML preserva),SEN AMPLIADOS XLSX (Secretaría Parlamentaria HSN),ALTA,NO,NO,
YPF_SENADO,"BERMEJO, Rolando Adolfo","BERMEJO, ROLANDO ADOLFO",AFIRMATIVO,AFIRMATIVO,San Juan,Mendoza,PJ Frente para la Victoria,PJ FRENTE PARA LA VICTORIA,FPV-PJ,Acta nominal del Senado (dataset HTML preserva),SEN AMPLIADOS XLSX (Secretaría Parlamentaria HSN),ALTA,SI,NO,
YPF_SENADO,"BIANCALANI, Fabio Darío","BIANCALANI, FABIO DARIO",AFIRMATIVO,AFIRMATIVO,Formosa,Chaco,PJ Frente para la Victoria,PJ FRENTE PARA LA VICTORIA,FPV-PJ,Acta nominal del Senado (dataset HTML preserva),SEN AMPLIADOS XLSX (Secretaría Parlamentaria HSN),ALTA,SI,NO,
YPF_SENADO,"BLAS, Inés Imelda","BLAS, INÉS IMELDA",AFIRMATIVO,AFIRMATIVO,Catamarca,Catamarca,PJ Frente para la Victoria,PJ FRENTE PARA LA VICTORIA,FPV-PJ,Acta nominal del Senado (dataset HTML preserva),SEN AMPLIADOS XLSX (Secretaría Parlamentaria HSN),ALTA,NO,NO,
YPF_SENADO,"BONGIORNO, María José","BONGIORNO, MARIA JOSE",AFIRMATIVO,AFIRMATIVO,Chubut,Río Negro,PJ Frente para la Victoria,PJ FRENTE PARA LA VICTORIA,FPV-PJ,Acta nominal del Senado (dataset HTML preserva),SEN AMPLIADOS XLSX (Secretaría Parlamentaria HSN),ALTA,SI,NO,
YPF_SENADO,"BORELLO, Marta Teresa","BORELLO, MARTA",AFIRMATIVO,AFIRMATIVO,Córdoba,Córdoba,Unión Cívica Radical,UCR - UNIÓN CÍVICA RADICAL,UCR,Acta nominal del Senado (dataset HTML preserva),SEN AMPLIADOS XLSX (Secretaría Parlamentaria HSN),MEDIA,NO,NO,
YPF_SENADO,"CABANCHIK, Samuel Manuel","CABANCHIK, SAMUEL MANUEL",AFIRMATIVO,AFIRMATIVO,CABA,CABA,Proyecto Buenos Aires Federal,PROYECTO BUENOS AIRES FEDERAL,Otros,Acta nominal del Senado (dataset HTML preserva),SEN AMPLIADOS XLSX (Secretaría Parlamentaria HSN),ALTA,NO,NO,
YPF_SENADO,"CABRAL ARRECHEA, Salvador","CABRAL, SALVADOR",AFIRMATIVO,AFIRMATIVO,Misiones,Misiones,PJ Frente para la Victoria,PJ FRENTE PARA LA VICTORIA,FPV-PJ,Acta nominal del Senado (dataset HTML preserva),SEN AMPLIADOS XLSX (Secretaría Parlamentaria HSN),MEDIA,NO,NO,
YPF_SENADO,"CANO, José Manuel","CANO, JOSE MANUEL",AFIRMATIVO,AFIRMATIVO,Tucumán,Tucumán,Unión Cívica Radical,UCR - UNIÓN CÍVICA RADICAL,UCR,Acta nominal del Senado (dataset HTML preserva),SEN AMPLIADOS XLSX (Secretaría Parlamentaria HSN),ALTA,NO,NO,
YPF_SENADO,"CASTILLO, Oscar Aníbal","CASTILLO, OSCAR ANÍBAL",ABSTENCION,ABSTENCION,Catamarca,Catamarca,UCR,FRENTE CÍVICO Y SOCIAL DE CATAMARCA,UCR,Acta nominal del Senado (dataset HTML preserva),SEN AMPLIADOS XLSX (Secretaría Parlamentaria HSN),ALTA,NO,NO,
YPF_SENADO,"CIMADEVILLA, Mario Jorge","CIMADEVILLA, MARIO JORGE",AFIRMATIVO,AFIRMATIVO,Chubut,Chubut,Unión Cívica Radical,UCR - UNIÓN CÍVICA RADICAL,UCR,Acta nominal del Senado (dataset HTML preserva),SEN AMPLIADOS XLSX (Secretaría Parlamentaria HSN),ALTA,NO,NO,
